table_name,event_date,user_pseudo_id,advertising_id,app_version,platform,country,online_time,max_level,engagement_time_msec,ga_session_id,ga_session_number,event_name,product_id_iap,rev_iap,rev_iaa,placement,ad_source,ad_format,install_date
IAA,7/17/2025,14b352f6fd38b3e80d0ac1d0bc0fd434,531a0adf-2131-46cf-b43e-ded4473108bc,3.1.1,ANDROID,Venezuela,24207,30,,1752719463,4,ad_impression,,0,0.0010662,AdsUpgrade_Patient,Mintegral,INTER,7/15/2025
IAA,7/18/2025,31f2bf5ae55b04952e3054a398d32da3,5795d5cf-293e-4c26-9fe6-c771249826c2,3.1.1,ANDROID,Brazil,149213,150,,1752800229,14,ad_impression,,0,0.000871352,AdsUpgrade_Patient,APPLOVIN_EXCHANGE,INTER,7/14/2025
IAA,8/5/2025,5dad8799c94736bd64d3f61ec28b55fe,5d89e7e9-b1fe-489e-b182-0ce222d2e778,3.1.1,ANDROID,Pakistan,258,2,,1754336035,2,ad_impression,,0,0.000426671,HeartAds,AppLovin,REWARDED,8/1/2025
IAA,8/9/2025,9e365d5c30fba04f2be011106d0a4715,68ebb1ab-d94b-4ac8-a566-d2ec0ca1d1c1,3.1.1,ANDROID,Egypt,17261,17,,1754689703,13,ad_impression,,0,0.0006187,AdsUpgrade_Patient,Mintegral,INTER,7/24/2025
IAA,8/4/2025,1d09f25d6b72a22f080c8a9700520a7a,6e6e50e5-30ac-4d6d-884f-95d29dc1f224,3.1.1,ANDROID,Germany,24983,23,,1754279265,1,ad_impression,,0,0.303750008,GameWinAds_Type_1.1,Mintegral,REWARDED,8/4/2025
IAA,7/20/2025,17e50c807df0d80b725f679ceece6a81,6faab83b-0312-4926-9534-7691b6180b92,3.1.1,ANDROID,Libya,479377,75,,1752970042,2,ad_impression,,0,4.47E-05,AdsChangeFahion,AppLovin,INTER,7/19/2025
IAA,8/2/2025,17e50c807df0d80b725f679ceece6a81,6faab83b-0312-4926-9534-7691b6180b92,3.1.1,ANDROID,Libya,1257056,274,,1754105209,19,ad_impression,,0,8.64E-05,AdsUpgrade_Patient,AppLovin,INTER,7/19/2025
IAA,7/30/2025,35168b5ee95a2ed53c98ed81724a3de1,70d7d371-d342-4eb0-8e37-9ae2f3bcb812,3.1.1,ANDROID,United States,3930895,401,,1753851264,263,ad_impression,,0,0.002825497,GameWinAds_Type_1.1,AppLovin,REWARDED,6/19/2025
IAA,7/21/2025,35168b5ee95a2ed53c98ed81724a3de1,70d7d371-d342-4eb0-8e37-9ae2f3bcb812,3.1.1,ANDROID,United States,3734206,401,,1753028979,252,ad_impression,,0,0.002321963,GameWinAds_Type_1.1,AppLovin,REWARDED,6/19/2025
IAA,8/8/2025,9ff04d35ce1ecc37c6bcb8d48b86d768,721da14a-8f1d-43d5-bf8d-4435728d908d,3.1.1,ANDROID,Kyrgyzstan,180329,68,,1754639052,4,ad_impression,,0,0.003,AdsUpgrade_Patient,Google AdMob,REWARDED,7/27/2025
